Airport,Type,Area,Year,Month,Arrive | From,Departure | To,Transit
BKK,Passenger,International,2013,January,1801152,1810252,95921
BKK,Passenger,International,2013,Febuary,1705106,1746888,87189
BKK,Passenger,International,2013,March,1852253,1944358,97583
BKK,Passenger,International,2013,April,1712427,1776439,94446
BKK,Passenger,International,2013,May,1554373,1612199,98419
BKK,Passenger,International,2013,June,1618316,1554053,109303
BKK,Passenger,International,2013,July,1715405,1648695,114456
BKK,Passenger,International,2013,August,1751349,1830121,106821
BKK,Passenger,International,2013,September,1577492,1599488,108665
BKK,Passenger,International,2013,October,1704479,1630514,101636
BKK,Passenger,International,2013,November,1816759,1726568,84983
BKK,Passenger,International,2013,December,1893862,1720304,81609
BKK,Flight,International,2013,January,9630,9588,
BKK,Flight,International,2013,Febuary,9053,9005,
BKK,Flight,International,2013,March,9747,9678,
BKK,Flight,International,2013,April,9692,9630,
BKK,Flight,International,2013,May,9704,9628,
BKK,Flight,International,2013,June,9389,9336,
BKK,Flight,International,2013,July,9984,9919,
BKK,Flight,International,2013,August,10200,10140,
BKK,Flight,International,2013,September,9625,9557,
BKK,Flight,International,2013,October,10268,10201,
BKK,Flight,International,2013,November,10476,10440,
BKK,Flight,International,2013,December,10909,10852,
BKK,Freight,International,2013,January,42948,50081,2933
BKK,Freight,International,2013,Febuary,40349,49750,2324
BKK,Freight,International,2013,March,51045,59361,3365
BKK,Freight,International,2013,April,44082,50875,3048
BKK,Freight,International,2013,May,43513,54817,2874
BKK,Freight,International,2013,June,44145,53287,3335
BKK,Freight,International,2013,July,43841,51724,4029
BKK,Freight,International,2013,August,43263,51656,4055
BKK,Freight,International,2013,September,46070,54932,4187
BKK,Freight,International,2013,October,47880,57332,4370
BKK,Freight,International,2013,November,48580,59275,4468
BKK,Freight,International,2013,December,44799,55757,4359
BKK,Passenger,International,2014,January,1939902,1947744,84423
BKK,Passenger,International,2014,Febuary,1640634,1755474,76109
BKK,Passenger,International,2014,March,1737528,1902162,84515
BKK,Passenger,International,2014,April,1793887,1801838,68622
BKK,Passenger,International,2014,May,1531574,1624532,78449
BKK,Passenger,International,2014,June,1360912,1338993,89070
BKK,Passenger,International,2014,July,1680753,1554530,92964
BKK,Passenger,International,2014,August,1790230,1888343,90198
BKK,Passenger,International,2014,September,1625760,1637306,87722
BKK,Passenger,International,2014,October,1916984,1853536,102035
BKK,Passenger,International,2014,November,2028459,1931788,85061
BKK,Passenger,International,2014,December,2119180,1947945,82537
BKK,Flight,International,2014,January,43255,53312,
BKK,Flight,International,2014,Febuary,37185,49585,
BKK,Flight,International,2014,March,48830,61356,
BKK,Flight,International,2014,April,43391,54255,
BKK,Flight,International,2014,May,42864,59626,
BKK,Flight,International,2014,June,43958,55554,
BKK,Flight,International,2014,July,45118,55234,
BKK,Flight,International,2014,August,40954,52918,
BKK,Flight,International,2014,September,37889,58498,
BKK,Flight,International,2014,October,48063,57759,
BKK,Flight,International,2014,November,48781,59767,
BKK,Flight,International,2014,December,44940,56197,
BKK,Freight,International,2014,January,46353,58541,3712
BKK,Freight,International,2014,Febuary,49891,59682,3478
BKK,Freight,International,2014,March,55127,67495,4610
BKK,Freight,International,2014,April,49580,60367,4003
BKK,Freight,International,2014,May,49473,64437,3954
BKK,Freight,International,2014,June,47868,60597,3713
BKK,Freight,International,2014,July,48778,57829,3965
BKK,Freight,International,2014,August,46382,54409,4130
BKK,Freight,International,2014,September,49020,56724,3813
BKK,Freight,International,2014,October,48040,55733,4370
BKK,Freight,International,2014,November,46263,56064,4506
BKK,Freight,International,2014,December,45328,55778,4359
BKK,Passenger,International,2015,January,1723193,1739809,82886
BKK,Passenger,International,2015,Febuary,1454104,1558859,75554
BKK,Passenger,International,2015,March,1518974,1686766,83728
BKK,Passenger,International,2015,April,1550542,1564770,68310
BKK,Passenger,International,2015,May,1306053,1398465,78070
BKK,Passenger,International,2015,June,1168536,1149695,88756
BKK,Passenger,International,2015,July,1443740,1328898,92376
BKK,Passenger,International,2015,August,1539300,1636079,89672
BKK,Passenger,International,2015,September,1371242,1385058,86965
BKK,Passenger,International,2015,October,1658012,1572733,77091
BKK,Passenger,International,2015,November,1795750,1731003,66347
BKK,Passenger,International,2015,December,2042478,1859040,70708
BKK,Flight,International,2015,January,10739,10700,
BKK,Flight,International,2015,Febuary,9330,9291,
BKK,Flight,International,2015,March,9649,9613,
BKK,Flight,International,2015,April,9313,9247,
BKK,Flight,International,2015,May,9038,9021,
BKK,Flight,International,2015,June,8058,7997,
BKK,Flight,International,2015,July,8555,8569,
BKK,Flight,International,2015,August,8860,8888,
BKK,Flight,International,2015,September,8469,8392,
BKK,Flight,International,2015,October,9407,9452,
BKK,Flight,International,2015,November,9779,9781,
BKK,Flight,International,2015,December,10442,10429,
BKK,Freight,International,2015,January,43149,52955,3712
BKK,Freight,International,2015,Febuary,37111,49257,3478
BKK,Freight,International,2015,March,48714,60613,4610
BKK,Freight,International,2015,April,43173,53596,4003
BKK,Freight,International,2015,May,42746,58927,3952
BKK,Freight,International,2015,June,43864,54751,3662
BKK,Freight,International,2015,July,44947,54450,3965
BKK,Freight,International,2015,August,40881,52067,4130
BKK,Freight,International,2015,September,37778,57565,3813
BKK,Freight,International,2015,October,42651,60218,4377
BKK,Freight,International,2015,November,47111,63515,4323
BKK,Freight,International,2015,December,41669,61592,4115
CNX,Passenger,International,2013,January,34162,32115,1
CNX,Passenger,International,2013,Febuary,35946,35568,1641
CNX,Passenger,International,2013,March,31002,31851,159
CNX,Passenger,International,2013,April,28483,26458,0
CNX,Passenger,International,2013,May,27996,27146,79
CNX,Passenger,International,2013,June,28576,27225,124
CNX,Passenger,International,2013,July,33333,29295,4717
CNX,Passenger,International,2013,August,35320,35079,6560
CNX,Passenger,International,2013,September,30951,27924,3126
CNX,Passenger,International,2013,October,34783,33721,3031
CNX,Passenger,International,2013,November,45828,40305,159
CNX,Passenger,International,2013,December,51863,49079,214
CNX,Flight,International,2013,January,276,273,
CNX,Flight,International,2013,Febuary,313,314,
CNX,Flight,International,2013,March,292,294,
CNX,Flight,International,2013,April,281,280,
CNX,Flight,International,2013,May,289,291,
CNX,Flight,International,2013,June,272,272,
CNX,Flight,International,2013,July,334,332,
CNX,Flight,International,2013,August,374,375,
CNX,Flight,International,2013,September,312,312,
CNX,Flight,International,2013,October,267,366,
CNX,Flight,International,2013,November,407,406,
CNX,Flight,International,2013,December,468,471,
CNX,Freight,International,2013,January,11,7,0
CNX,Freight,International,2013,Febuary,8,17,0
CNX,Freight,International,2013,March,10,32,0
CNX,Freight,International,2013,April,4,3,0
CNX,Freight,International,2013,May,5,2,0
CNX,Freight,International,2013,June,7,4,0
CNX,Freight,International,2013,July,11,2,0
CNX,Freight,International,2013,August,14,5,0
CNX,Freight,International,2013,September,11,6,0
CNX,Freight,International,2013,October,11,8,0
CNX,Freight,International,2013,November,11,6,0
CNX,Freight,International,2013,December,10,13,0
CNX,Passenger,International,2014,January,62753,54677,425
